age,e0x,e0x.m,e0x.f,qx,qx.m,qx.f,lx,lx.m,lx.f
74,13.07,11.08,14.30,0.02367,0.03451,0.01559,78975,70846,87089
75,12.38,10.46,13.52,0.02675,0.03885,0.01791,77106,68401,85731
76,11.70,9.86,12.75,0.03004,0.04339,0.02063,75043,65744,84195
77,11.05,9.29,12.01,0.03368,0.04822,0.02394,72789,62891,82458
78,10.42,8.73,11.29,0.03775,0.05358,0.02775,70338,59858,80484
79,9.81,8.20,10.60,0.04242,0.05977,0.03219,67683,56650,78251
80,9.22,7.69,9.94,0.04782,0.06709,0.03727,64812,53265,75732
81,8.66,7.20,9.30,0.05386,0.07504,0.04294,61712,49691,72910
82,8.12,6.75,8.70,0.06027,0.08347,0.04917,58388,45962,69779
83,7.61,6.32,8.12,0.06736,0.09255,0.05624,54869,42125,66348
84,7.12,5.91,7.58,0.07561,0.10316,0.06436,51173,38227,62617
85,6.66,5.53,7.06,0.08444,0.11400,0.07319,47304,34284,58587
86,6.23,5.18,6.58,0.09399,0.12552,0.08284,43310,30375,54299
87,5.83,4.85,6.13,0.10428,0.13771,0.09333,39239,26563,49801
88,5.45,4.55,5.71,0.11531,0.15055,0.10467,35147,22905,45153
89,5.09,4.27,5.32,0.12709,0.16399,0.11686,31094,19456,40426
90,4.76,4.00,4.96,0.13962,0.17799,0.12985,27142,16266,35702
91,4.45,3.76,4.62,0.15287,0.19248,0.14364,23353,13371,31066
92,4.17,3.54,4.31,0.16683,0.20741,0.15816,19783,10797,26604
93,3.90,3.34,4.03,0.18146,0.22270,0.17334,16483,8558,22396
94,3.65,3.15,3.77,0.19673,0.23825,0.18912,13492,6652,18514
95,3.43,2.98,3.53,0.21258,0.25397,0.20538,10837,5067,15013
96,3.22,2.82,3.32,0.22894,0.26975,0.22201,8534,3780,11930
97,3.02,2.68,3.12,0.24576,0.28548,0.23890,6580,2760,9281
98,2.85,2.55,2.94,0.26295,0.30105,0.25588,4963,1972,7064
99,2.68,2.44,2.78,0.28041,0.31633,0.27282,3658,1379,5256
100,2.53,2.33,2.64,1.00000,1.00000,1.00000,2632,943,3822
