Measure Names,Race,Sex,Year,Average Life Expectancy,Mortality
Mortality,Black,,1936,,2722.4
Mortality,Black,,1937,,2596.1
Mortality,Black,,1938,,2384.3
Mortality,Black,,1939,,2328.1
Mortality,Black,,1940,,2458.9
Mortality,Black,,1941,,2351.1
Mortality,Black,,1942,,2187.8
Mortality,Black,,1943,,2189.9
Mortality,Black,,1944,,2084.9
Mortality,Black,,1945,,2002.7
Mortality,Black,,1946,,1878.6
Mortality,Black,,1947,,1922.8
Mortality,Black,,1948,,1954.3
Mortality,Black,,1949,,1915.4
Mortality,Black,,1950,,1949.5
Mortality,Black,,1951,,1903.4
Mortality,Black,,1952,,1894.1
Mortality,Black,,1953,,1863.1
Mortality,Black,,1954,,1726.6
Mortality,Black,,1955,,1707.5
Mortality,Black,,1956,,1724.1
Mortality,Black,,1957,,1797.0
Mortality,Black,,1958,,1779.2
Mortality,Black,,1959,,1724.7
Mortality,Black,,1960,,1777.6
Mortality,Black,,1961,,1713.3
Mortality,Black,,1962,,1775.4
Mortality,Black,,1963,,1859.0
Mortality,Black,,1964,,1768.1
Mortality,Black,,1965,,1791.0
Mortality,Black,,1966,,1832.4
Mortality,Black,,1967,,1767.2
Mortality,Black,,1968,,1976.8
Mortality,Black,,1969,,1934.4
Mortality,Black,,1970,,1873.9
Mortality,Black,,1971,,1836.1
Mortality,Black,,1972,,1871.8
Mortality,Black,,1973,,1849.5
Mortality,Black,,1974,,1769.5
Mortality,Black,,1975,,1697.0
Mortality,Black,,1976,,1676.0
Mortality,Black,,1977,,1647.9
Mortality,Black,,1978,,1626.9
Mortality,Black,,1979,,1601.5
Mortality,Black,,1980,,1695.5
Mortality,Black,,1981,,1626.6
Mortality,Black,,1982,,1580.0
Mortality,Black,,1983,,1600.5
Mortality,Black,,1984,,1597.1
Mortality,Black,,1985,,1632.9
Mortality,Black,,1986,,1648.4
Mortality,Black,,1987,,1646.3
Mortality,Black,,1988,,1673.1
Mortality,Black,,1989,,1666.1
Mortality,Black,,1990,,1642.4
Mortality,Black,,1991,,1624.1
Mortality,Black,,1992,,1586.2
Mortality,Black,,1993,,1631.1
Mortality,Black,,1994,,1591.9
Mortality,Black,,1995,,1585.2
Mortality,Black,,1996,,1523.2
Mortality,Black,,1997,,1458.2
Mortality,Black,,1998,,1429.8
Mortality,Black,,1999,,1432.6
Mortality,Black,,2000,,1403.5
Mortality,Black,,2001,,1380.5
Mortality,Black,,2002,,1364.8
Mortality,Black,,2003,,1343.5
Mortality,Black,,2004,,1296.9
Mortality,Black,,2005,,1281.3
Mortality,Black,,2006,,1239.5
Mortality,Black,,2007,,1204.8
Mortality,Black,,2008,,1168.0
Mortality,Black,,2009,,1123.1
Mortality,Black,,2010,,1104.0
Mortality,Black,,2011,,1067.1
Mortality,Black,,2012,,1058.6
Mortality,Black,,2013,,1052.8
